vlc-2.0.5/modules/mux/mp4.c;1043;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1055;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1058;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1147;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1151;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1155;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1159;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1163;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1167;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1171;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/mux/mp4.c;1175;warning;bufferNotZeroTerminated;The buffer 'fcc' is not null-terminated after the call to memcpy().
vlc-2.0.5/modules/services_discovery/sap.c;727;error;memleakOnRealloc;Common realloc mistake: 'decomp' nulled but not freed upon failure
vlc-2.0.5/modules/stream_out/bridge.c;318;error;assignBoolToPointer;Boolean value assigned to pointer.
vlc-2.0.5/modules/stream_filter/httplive.c;625;error;memleak;Memory leak: segment
vlc-2.0.5/modules/stream_filter/httplive.c;1067;error;memleak;Memory leak: hls
vlc-2.0.5/modules/services_discovery/sap.c;1479;error;memleakOnRealloc;Common realloc mistake: 'psz_dst' nulled but not freed upon failure
vlc-2.0.5/modules/services_discovery/sap.c;724;error;memleak;Memory leak: decomp
vlc-2.0.5/modules/text_renderer/freetype.c;2082;error;nullPointer;Possible null pointer dereference: p_new_positions
vlc-2.0.5/modules/video_filter/atmo/AtmoOutputFilter.cpp;86;error;mismatchAllocDealloc;Mismatching allocation and deallocation: CAtmoOutputFilter::m_percent_filter_output_old
vlc-2.0.5/modules/video_filter/atmo/AtmoOutputFilter.cpp;142;error;mismatchAllocDealloc;Mismatching allocation and deallocation: CAtmoOutputFilter::m_mean_filter_output_old
vlc-2.0.5/modules/video_filter/atmo/AtmoOutputFilter.cpp;148;error;mismatchAllocDealloc;Mismatching allocation and deallocation: CAtmoOutputFilter::m_mean_values
vlc-2.0.5/modules/video_filter/atmo/AtmoOutputFilter.cpp;154;error;mismatchAllocDealloc;Mismatching allocation and deallocation: CAtmoOutputFilter::m_mean_sums
vlc-2.0.5/modules/video_filter/atmo/AtmoZoneDefinition.cpp;137;error;memleak;Memory leak: pBuf
vlc-2.0.5/modules/video_filter/atmo/AtmoZoneDefinition.cpp;182;error;memleak;Memory leak: pBuf
vlc-2.0.5/modules/video_filter/atmo/AtmoZoneDefinition.cpp;256;error;memleak;Memory leak: pixelBuffer
